nm	OxyHb	DeoxyHb	metHb	Hemichrome	HbCO	Hemin
594	0.194882708	0.494734935	0.378166996	0.340238123	0.216436093	0.365189842
596	0.155551242	0.435532548	0.36979048	0.31798159	0.192378713	0.367880908
598	0.124730728	0.375396044	0.36229582	0.294526908	0.171492492	0.371856346
600	0.10307307	0.32078212	0.355956806	0.273214372	0.154237274	0.375831784
602	0.088332824	0.277532047	0.351435928	0.255133208	0.143090124	0.378217047
604	0.079858088	0.243470222	0.346960684	0.241663104	0.134847378	0.380418828
606	0.070007113	0.215338907	0.344578468	0.224707475	0.128320599	0.382620609
608	0.066457865	0.191945484	0.342976946	0.215085972	0.122055928	0.38280409
610	0.059359368	0.174411038	0.34260804	0.201325407	0.117894741	0.383538017
612	0.056136071	0.161512501	0.342646527	0.192103288	0.114598837	0.381825521
614	0.053093858	0.151936153	0.345833626	0.183679934	0.112403116	0.378767492
616	0.050775982	0.143642365	0.350909785	0.175837502	0.109448282	0.374486251
618	0.048784056	0.135749422	0.357597362	0.168684913	0.106153042	0.367636266
620	0.047407817	0.128849381	0.365637958	0.161968015	0.1027304	0.359807711
622	0.045415892	0.123106548	0.373489428	0.155142194	0.100681989	0.350694784
624	0.04498129	0.118061295	0.380437052	0.150640057	0.0983582	0.339502397
626	0.044003436	0.11266265	0.385590181	0.14628315	0.095678745	0.328310011
628	0.042880715	0.107696717	0.389280333	0.142361934	0.093135318	0.315038164
630	0.041866644	0.102784608	0.39	0.138985331	0.090319832	0.301460515
632	0.041504476	0.098019097	0.387125726	0.136117034	0.086063094	0.28623153
634	0.039983369	0.092937727	0.379626666	0.132921969	0.081491829	0.27161415
636	0.038788214	0.087897433	0.366579733	0.129472751	0.079083767	0.256079362
638	0.036687639	0.08273462	0.347661652	0.126459223	0.075674394	0.240544574
640	0.036615205	0.07832746	0.322659109	0.124825383	0.070610104	0.226171837
642	0.034080028	0.073696509	0.294412288	0.122211239	0.065608189	0.213389275
644	0.032377837	0.069514559	0.263419294	0.120214324	0.062665962	0.197365202
646	0.029770226	0.065066324	0.231133207	0.115675879	0.059536612	0.18354291
648	0.027198832	0.061602494	0.199526654	0.112480814	0.057021719	0.170515706
650	0.024953389	0.057736403	0.170984049	0.109539902	0.055047625	0.157671984
652	0.023251198	0.052767637	0.146416382	0.105473455	0.050723206	0.145134064
654	0.018760313	0.045890265	0.122720128	0.099918399	0.047250799	0.134125159
656	0.021114406	0.04531166	0.105889578	0.099664246	0.049512209	0.135470692
658	0.018543012	0.048194758	0.093733843	0.098429789	0.053402658	0.122504648
660	0.020027901	0.049611874	0.085159952	0.098575019	0.053548642	0.11742832
662	0.01799976	0.045636723	0.074173612	0.093927652	0.051138594	0.111740386
664	0.019991685	0.042849937	0.064587022	0.093891344	0.050632297	0.105685488
666	0.018398145	0.040364137	0.05602523	0.090006436	0.04919768	0.101832371
668	0.018398145	0.037573102	0.048519573	0.088626748	0.047849989	0.094615422
670	0.016551087	0.03429553	0.041231632	0.083434768	0.045971452	0.086603386
672	0.015935401	0.030763005	0.035224138	0.081510467	0.046126061	0.084156963
674	0.014414294	0.028098029	0.031975462	0.077916019	0.04686792	0.080426167
676	0.016877038	0.025774409	0.030362393	0.077952326	0.047235532	0.077001174
678	0.016695954	0.023804182	0.028161606	0.07566495	0.046256118	0.07443243
680	0.016551087	0.021200113	0.025485256	0.074067418	0.045878551	0.070762795
682	0.015102414	0.018114465	0.023283919	0.07105389	0.04367686	0.068377532
684	0.015102414	0.015210117	0.021689544	0.06912959	0.042919075	0.064402094
686	0.014269427	0.012851795	0.020423391	0.066733291	0.043145348	0.061772189
688	0.015464582	0.011023918	0.019934083	0.06615237	0.044195762	0.060487817
690	0.014957547	0.009312186	0.019640498	0.063756071	0.043276069	0.059386926
692	0.013979693	0.007246353	0.019249601	0.062848382	0.043238909	0.057919072
694	0.014160777	0.005015508	0.019476112	0.059580702	0.042477142	0.055289167
696	0.013979693	0.003112561	0.019307328	0.058455168	0.041929705	0.054249437
698	0.014160777	0.001770621	0.018782303	0.056095177	0.041697502	0.052842744
700	0.01412456	0	0.019044806	0.056276714	0.040733638	0.052598102
